"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363802057.8653","1522193651.7792","1648463551.43689","1810857555.73795","2001255995.51086","2095259749.36056","2158919231.42413","2350908521.51435","2424685609.47014","2489440705.33461","2739898103.25884","2918754740.63968","2936102553.38461","3027319748.04955","3335469123.98273","3426871110.39857","3572376596.76514","3782521886.1673","3926175809.01877","3489075178.03646","3434946033.82954","3623931877.15193","3549697827.01878","3793906436.882","3808447873.65564","3881687394.68026","3926951256.42967","4080271623.86488","4278675099.18117","4210290736.83411","3120095913.02122","3791812306.88464","4492347932.55543","5101901144.22916","5584653977.9108","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","579172931025.036","600032918812.838","600800452231.634","613066090262.034","638191628928.401","680523976101.564","732046919371.706","776638773869.981","800287720433.908","834165588836.716","881578113340.233","934425087407.332","985145557487.837","1035395442001.77","1122795437179.14","1228831861012.05","1350811512373.78","1479678589320.21","1575328035201","1599680984377.05","1705631630476","1808369379213.64","1815552128746.83","1940405330820.85","2076602678182.37","2148869258409.11","2268750738344.95","2459763906175.13","2452092198644.32","2571675364015.59","2574335034685.32","2868249708352.14","3190442256087.09","3374768239278.88","3565713113590.68","3818215535670.68",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16377032683.4353","15166333855.1146","19806995163.9562","21981995255.7028","22892320780.269","26261445894.376","28521625037.6511","33344679965.441","35321124704.1571","43140953896.4454","49936634723.864","51184181904.4289","60766467131.1993","67458857272.9888","72946664022.0665","77274315044.0326","76798750471.4042","83362066704.4832","89369237677.5116","97800733345.013","100094011602.726","85767546197.7544","86135058870.0988","91347125337.505","95368282081.0498","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446126736133.366","466490178485.399","489690312233.581","494741185918.981","503700809522.611","522873824322.22","556859717103.514","590279741752.818","617924448043.775","635960702336","675719863218.33","728165156698.249","816511096508.181","881901582762.011","979902985003.676","1070138443024.54","1162368419946.3","1260250617569.12","1365730529444.47","1460907570086.77","1583804782377.79","1698475074352.79","1796232131040.07","1925162487098.34","2081639052383.14","2114363564215.35","2132247873789.91","2216491581850.24","2342005152902.75","2540028057683.06","2569089878268.89","2765414500385.42","3093513606481.64","3323796524638.08","3561456759951.8","3828060601634.58",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43074073050.4895","44972216729.6881","43311630089.1967","33704427291.0815","34885147280.6014","40959067177.6096","47358143132.7314","51679178936.2283","54711575818.8826","56696215285.2004","59751581476.3667","63666740831.1878","73491822509.1074","77556271312.4273","88736815278.8614","104473445323.494","120448309495.35","139797395591.946","157860858803.514","162004198389.139","172653197068.286","182548166822.434","207621875217.7","222514926605.069","244927399935.927","227162636843.096","230035949236.344","245679424581.42","261964346820.546","279131668989.222","260321778212.471","301129262182.548","334021676927.026","350954000185.321","377479074146.311","400212936179",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8728022983.58138","6496502296.62082","6166997079.2887","6916677324.92323","7650906671.8491","8851972751.64438","9675330535.76215","8689502853.73442","9653983189.84467","11033930510.5144","12287510466.7767","13619334671.3039","14767982327.0683","15712271002.738","16935169429.5006","18112033231.7114","20208416726.4065","22526611794.4377","24961656872.3648","26437303974.8549","28416130086.5141","29846310741.3125","30348619168.7123","30653646729.2026","32696805564.3108","33831434788.0951","35113414807.491","37369081148.0101","39260326195.7007","42219849458.0002","41182905420.8842","45345524203.3941","54275535286.4574","59923686142.1464","63473513071.6897","66307015661.1063",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310131885.10193","1388922114.67774","1433773796.39868","1452619188.91206","1518993228.54028","1593606271.83984","1698236547.20671","1884167759.86815","1966215054.48245","2075776156.12893","2197696491.49015","2429638531.12813","2579571697.18916","2859201638.0709","3174958697.63352","3451259350.75091","3728768818.11427","3889274660.13765","3743831887.4337","3567168968.11756","3539214037.9619","3611940400.01089","3496180919.79718","3429540495.02771","3576657555.17428","3661620791.75687","3833543204.89228","3915698820.58319","4152298789.83756","4395348448.44156","4031176207.5678","4649508748.84024","5456542511.59286","5804635323.75573","6177703887.62295","6596405372.61993",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1548975237652.48","1658870258391.5","1790889139639.93","1872168513593.52","1968415157867.26","2061606024866.94","2198579150141.68","2357375625404.23","2507004333165.62","2621117237880.67","2854225524499.05","2981121214360.14","3058142872301.73","3227913805590.53","3625827740610.44","3944288874234.18","4311706237491.13","4625820104958.77","4979306310108.93","5042227213427.64","5343998510990.75","5679675037187.63","6144696942163.51","6276395828103.1","6338641001359.66","5887766754250.74","5827264129769.37","6208230803021.32","6792332640019.17","7005159893720.73","6505696438774.93","7396233986127.35","8476299028749.85","8936109982502.48","9341767466037.47","9957977987207.14",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167907035886.214","175078350012.523","185058463956.831","191834037038.03","209441560681.324","228133334821.153","245780527894.876","270496088551.107","274335446042.97","286291584042.11","324551222198.169","336501558167.355","350046365181.872","388371695241.351","436968125581.363","472549661102.503","535041904064.456","567037117097.466","596409747571.208","568626127582.665","584761553248.816","637031065631.766","659302624635.849","673342569890.033","705021482663.739","629269158546.742","625340547078.451","648225748926.389","723866553517.518","753927637632.337","627901561733.231","656665181293.844","756225458497.196","817937250430.128","871702497011.261","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234476844283.537","264545654080.426","292050532475.415","323509736784.55","349701129038.587","346874927356.258","372747062303.714","409929944204.457","430497422030.155","421808836959.473","427960175913.964","418303583403.588","378523791528.897","420107758522.524","470358838996.064","528046724343.148","588133949220.075","658480356238.014","698398185488.23","661115953568.952","736904550726.757","797263881242.037","819219854484.205","848625298160.51","838428063163.02","865155580188.784","882649216798.351","1035699067575.93","1090043170151.08","1057633159930.82","1011999397129.76","1191725417699.43","1353340950405.24","1377373008849.81","1392608159721.26","1494141945295.71",
