Year,United States,Japan,Germany,UK,India,China,Indonesia,Nigeria,Brazil,Russia,Mexico,Iran,Turkey,France,Italy,South Korea,Spain,Canada,Netherlands,Saudi Arabia,Poland,Venezuela,Australia,Sweden,Switzerland,Argentina
2025,"341,784,857","123,366,734","83,491,249","69,487,000","1,463,865,525","1,406,585,000","285,721,236","237,527,782","212,812,405","143,513,328","131,946,900","92,417,681","85,878,556","68,720,337","58,915,656","51,684,564","49,355,143","41,651,653","18,087,633","36,973,555","36,435,861","28,516,896","27,614,411","10,596,620","9,092,436","45,851,378"
2024,"340,003,797","123,975,371","83,516,593","69,281,000","1,450,935,791","1,408,975,000","283,487,931","232,679,478","211,998,573","143,669,648","130,861,007","91,567,738","85,518,661","68,551,653","58,952,704","51,751,065","48,848,840","41,262,329","17,993,485","35,300,280","36,559,233","28,405,543","27,194,286","10,569,709","9,005,582","45,696,159"
2023,"336,755,052","124,516,650","83,287,273","68,526,000","1,438,069,596","1,410,710,000","281,190,067","227,882,945","211,140,729","143,826,130","129,739,759","90,608,707","85,325,965","68,372,286","58,984,216","51,712,619","48,352,528","40,049,088","17,877,117","33,702,731","36,687,353","28,300,854","26,659,922","10,536,632","8,888,822","45,538,401"
2022,"333,996,304","125,124,989","83,177,813","67,636,000","1,425,423,212","1,412,175,000","278,830,529","223,150,896","210,306,415","144,236,933","128,613,117","89,524,246","84,979,913","68,184,457","59,013,667","51,672,569","47,786,102","38,950,132","17,700,982","32,175,224","36,821,749","28,213,017","26,018,721","10,486,941","8,777,088","45,407,904"
2021,"332,100,166","125,681,593","83,196,078","66,978,000","1,414,203,896","1,412,360,000","276,758,053","218,529,286","209,550,294","144,746,762","127,648,148","88,455,488","84,147,318","67,842,811","59,133,173","51,769,539","47,443,821","38,239,864","17,533,044","30,784,383","36,981,559","28,237,826","25,685,412","10,415,811","8,704,546","45,312,281"
2020,"331,578,104","126,261,000","83,160,871","66,740,000","1,402,617,695","1,411,100,000","274,814,866","213,996,181","208,660,842","145,245,148","126,799,054","87,723,443","83,384,680","67,601,110","59,438,851","51,836,239","47,359,424","38,028,638","17,441,500","31,552,510","37,515,748","28,444,077","25,649,248","10,353,442","8,638,167","45,191,965"
2019,"330,226,227","126,633,000","83,092,962","66,628,000","1,389,030,312","1,407,745,000","272,489,381","209,485,641","207,455,459","145,453,291","125,762,982","87,051,648","82,579,440","67,382,061","59,729,081","51,764,822","47,118,501","37,618,495","17,344,874","30,063,799","37,965,475","28,938,098","25,334,826","10,278,887","8,575,280","44,973,465"
2018,"328,529,577","126,811,000","82,905,782","66,287,000","1,374,659,064","1,402,760,000","269,951,846","204,938,755","206,107,261","145,398,106","124,573,711","86,117,998","81,407,204","67,158,348","59,877,221","51,585,058","46,782,011","37,072,620","17,231,624","30,196,281","37,974,750","29,807,592","24,963,258","10,175,214","8,514,329","44,654,882"
2017,"326,608,609","126,972,000","82,657,002","65,964,000","1,359,657,400","1,396,215,000","267,346,658","200,254,579","204,703,445","145,293,260","123,400,057","85,026,754","80,312,698","66,918,020","60,002,252","51,361,911","46,571,232","36,545,075","17,131,296","30,977,355","37,974,826","30,565,323","24,592,588","10,057,698","8,451,840","44,288,894"
2016,"324,353,340","127,076,000","82,348,669","65,606,000","1,343,944,296","1,387,790,000","264,627,418","195,443,700","203,218,114","145,015,460","122,251,351","83,812,228","79,277,962","66,724,104","60,115,223","51,217,803","46,458,139","36,110,803","17,030,314","30,954,198","37,970,087","30,765,720","24,190,907","9,923,085","8,373,338","43,900,313"
2015,"321,815,121","127,141,000","81,686,611","65,087,000","1,328,024,498","1,379,860,000","261,799,249","190,671,878","201,675,532","144,640,716","121,072,306","82,619,362","78,218,479","66,548,272","60,229,605","51,014,947","46,422,303","35,704,498","16,939,923","29,816,382","37,986,412","30,573,972","23,815,995","9,799,186","8,282,396","43,477,012"
2014,"319,257,560","127,276,000","80,982,500","64,619,000","1,312,277,191","1,371,860,000","258,877,399","185,896,915","200,085,127","144,237,223","119,784,261","81,502,045","77,181,884","66,312,067","60,320,707","50,746,659","46,460,733","35,434,066","16,865,008","28,309,273","38,011,735","30,254,079","23,475,686","9,696,110","8,188,649","43,024,071"
