Year,Consumer price index (1950=100),GDP price index (1950=100),PCE index (1950=100),Real estate price index (whole country),Real estate price index (West Germany),Equity price index,Equity total return index (dividend reinvested),Equity total real return index (CPI),Consumer price inflation,GDP price inflation,PCE inflation,Real estate price inflation (whole country),Real estate price inflation (West Germany),Equity price inflation,Equity total return (incl. dividend),Equity total real return (CPI)
1870,34.3,38.3,,,,101.6,103.1,102.5,,,,,,,,
1871,36.8,40.0,,,,119.2,131.2,121.1,7.1%,4.5%,,,,17.3%,27.2%,18.1%
1872,38.8,42.9,,,,160.0,191.6,168.7,5.4%,7.3%,,,,34.3%,46.1%,39.3%
1873,42.6,45.3,,,,157.8,203.8,163.4,10.0%,5.4%,,,,-1.4%,6.4%,-3.1%
1874,44.8,45.5,,,,121.6,167.5,127.5,5.1%,0.5%,,,,-23.0%,-17.8%,-22.0%
1875,41.0,43.0,,,,96.3,140.8,116.8,-8.4%,-5.5%,,,,-20.8%,-15.9%,-8.4%
1876,40.5,42.7,,,,78.3,120.7,101.4,-1.3%,-0.8%,,,,-18.6%,-14.3%,-13.2%
1877,41.4,41.7,,,,72.2,116.6,96.0,2.2%,-2.2%,,,,-7.9%,-3.4%,-5.3%
1878,39.2,40.7,,,,75.8,129.0,112.2,-5.2%,-2.5%,,,,5.1%,10.7%,16.8%
1879,38.5,39.1,,,,91.1,163.6,144.3,-1.7%,-4.0%,,,,20.1%,26.8%,28.7%
1880,40.9,40.8,,,,117.4,221.1,184.1,6.3%,4.4%,,,,28.9%,35.2%,27.5%
1881,41.3,40.2,,,,123.0,243.6,200.8,0.8%,-1.5%,,,,4.8%,10.2%,9.1%
1882,40.3,40.4,,,,123.0,255.8,216.1,-2.4%,0.6%,,,,0.0%,5.0%,7.6%
1883,40.2,39.4,,,,124.1,270.6,229.2,-0.2%,-2.6%,,,,0.9%,5.8%,6.1%
1884,38.6,39.0,,,,119.3,273.0,241.1,-3.9%,-1.0%,,,,-3.8%,0.9%,5.2%
1885,37.6,38.1,,,,114.8,276.2,250.7,-2.7%,-2.3%,,,,-3.8%,1.2%,4.0%
