DATE,VALUE
1957-12-01,1.573449
1958-01-01,1.542084
1958-02-01,1.463673
1958-03-01,1.557767
1958-04-01,1.63095
1958-05-01,1.641405
1958-06-01,1.725044
1958-07-01,1.725044
1958-08-01,1.829592
1958-09-01,1.887093
1958-10-01,1.949822
1958-11-01,1.970732
1958-12-01,2.096189
1959-01-01,2.059598
1959-02-01,2.111872
1959-03-01,2.122326
1959-04-01,2.221647
1959-05-01,2.289603
1959-06-01,2.294831
1959-07-01,2.253012
1959-08-01,2.446426
1959-09-01,2.399379
1959-10-01,2.749615
1959-11-01,2.812344
1959-12-01,3.010985
1960-01-01,2.995303
1960-02-01,2.927347
1960-03-01,2.953484
1960-04-01,2.791434
1960-05-01,2.890755
1960-06-01,2.812344
1960-07-01,2.817571
1960-08-01,2.969166
1960-09-01,2.937802
1960-10-01,2.979621
1960-11-01,2.833254
1960-12-01,2.864618
1961-01-01,2.979621
1961-02-01,3.125988
1961-03-01,3.261901
1961-04-01,3.335084
1961-05-01,3.293265
1961-06-01,3.026668
1961-07-01,2.943029
1961-08-01,2.828026
1961-09-01,2.786207
1961-10-01,2.718251
1961-11-01,2.749615
1961-12-01,2.796662
1962-01-01,2.801889
1962-02-01,2.828026
1962-03-01,2.754843
1962-04-01,2.953484
1962-05-01,2.890755
1962-06-01,2.634612
1962-07-01,2.624157
1962-08-01,2.723478
1962-09-01,2.718251
1962-10-01,2.733933
1962-11-01,2.843708
1962-12-01,2.885528
1963-01-01,2.895983
1963-02-01,2.948256
1963-03-01,3.010985
1963-04-01,3.052805
1963-05-01,3.084169
1963-06-01,3.058032
1963-07-01,3.105079
1963-08-01,3.193944
1963-09-01,3.261901
1963-10-01,3.329857
1963-11-01,3.376904
1963-12-01,3.439633
1964-01-01,3.361222
1964-02-01,3.272356
1964-03-01,3.361222
1964-04-01,3.418723
1964-05-01,3.366449
1964-06-01,3.319402
1964-07-01,3.434405
1964-08-01,3.470997
1964-09-01,3.481452
1964-10-01,3.397813
1964-11-01,3.246219
1964-12-01,3.125988
1965-01-01,3.178262
1965-02-01,3.251446
1965-03-01,3.136443
1965-04-01,3.146898
1965-05-01,3.204399
1965-06-01,3.068487
1965-07-01,2.958711
1965-08-01,2.995303
1965-09-01,3.073714
1965-10-01,3.261901
1965-11-01,3.340312
