Date,FXI,PTR,CHL,LFC,BIDU
2001-01-04,,1.79,10.16,4.17,
2001-02-04,,1.94,10.41,4.27,
2001-05-04,,1.95,10.65,4.23,
2001-06-04,,1.83,10.73,3.97,
2001-07-04,,1.78,10.95,4.07,
2001-08-04,,1.72,11.46,4,
2001-09-04,,1.71,11.67,4,
2001-12-04,,1.62,11.46,3.9,
1/13/04,,1.58,11.54,3.81,
1/14/04,,1.62,11.25,3.71,
1/15/04,,1.59,11.25,3.74,
1/16/04,,1.53,11.2,3.87,
1/19/04,,1.56,11.16,3.87,
1/20/04,,1.6,11.67,3.97,
1/21/04,,1.63,11.86,4,
1/22/04,,1.63,11.86,4,
1/23/04,,1.63,11.86,4,
1/26/04,,1.58,11.59,3.94,
1/27/04,,1.6,11.84,3.9,
1/28/04,,1.56,11.4,3.81,
1/29/04,,1.56,11.18,3.77,
1/30/04,,1.55,10.93,3.74,
2002-02-04,,1.5,10.67,3.54,
2002-03-04,,1.55,10.73,3.67,
2002-04-04,,1.55,10.61,3.51,
2002-05-04,,1.52,10.58,3.44,
2002-06-04,,1.57,10.86,3.48,
2002-09-04,,1.63,11.2,3.64,
2002-10-04,,1.59,10.99,3.58,
2002-11-04,,1.59,11.05,3.74,
2002-12-04,,1.6,11.07,3.71,
2/13/04,,1.61,11.27,3.71,
2/16/04,,1.68,11.46,3.77,
2/17/04,,1.68,11.48,3.81,
2/18/04,,1.68,11.48,3.81,
2/19/04,,1.65,11.57,3.74,
2/20/04,,1.65,11.72,3.71,
2/23/04,,1.67,11.57,3.71,
2/24/04,,1.65,11.5,3.67,
2/25/04,,1.64,11.2,3.58,
2/26/04,,1.65,11.42,3.61,
2/27/04,,1.68,11.69,3.64,
2003-01-04,,1.66,11.89,3.61,
2003-02-04,,1.67,11.65,3.64,
2003-03-04,,1.66,11.42,3.54,
2003-04-04,,1.65,11.37,3.67,
2003-05-04,,1.64,11.5,3.71,
2003-08-04,,1.68,11.69,3.67,
2003-09-04,,1.7,11.57,3.58,
2003-10-04,,1.67,11.1,3.58,
2003-11-04,,1.62,10.75,3.44,
2003-12-04,,1.64,10.65,3.48,
3/15/04,,1.64,10.52,3.48,
3/16/04,,1.66,10.5,3.41,
3/17/04,,1.66,10.56,3.44,
3/18/04,,1.62,10.2,3.28,
3/19/04,,1.65,9.82,3.22,
3/22/04,,1.62,9.54,3.18,
3/23/04,,1.63,9.54,3.28,
3/24/04,,1.66,9.75,3.28,
3/25/04,,1.56,9.69,3.2,
3/26/04,,1.54,9.6,3.2,
3/29/04,,1.52,9.54,3.2,
3/30/04,,1.55,9.77,3.26,
3/31/04,,1.58,9.84,3.23,
2004-01-04,,1.56,9.88,3.12,
2004-02-04,,1.59,9.77,3.15,
2004-05-04,,1.59,9.77,3.15,
2004-06-04,,1.59,10.14,3.2,
2004-07-04,,1.57,10.07,3.38,
2004-08-04,,1.58,9.92,3.44,
2004-09-04,,1.58,9.92,3.44,
2004-12-04,,1.58,9.92,3.44,
4/13/04,,1.61,10.14,3.35,
4/14/04,,1.56,9.69,3.17,
4/15/04,,1.56,9.58,3.23,
4/16/04,,1.57,9.47,3.2,
4/19/04,,1.54,9.43,3.13,
4/20/04,,1.5,9.35,3.07,
4/21/04,,1.44,9.18,2.95,
4/22/04,,1.44,8.98,3.1,
4/23/04,,1.5,9.13,3.22,
4/26/04,,1.43,8.9,3.03,
4/27/04,,1.43,8.86,3,
4/28/04,,1.46,8.88,2.92,
4/29/04,,1.42,8.88,2.81,
4/30/04,,1.4,8.77,2.79,
2005-03-04,,1.41,8.96,2.77,
2005-04-04,,1.47,9.24,2.81,
2005-05-04,,1.47,9.07,2.77,
2005-06-04,,1.5,9.09,2.81,
2005-07-04,,1.51,8.98,2.79,
2005-10-04,,1.42,8.58,2.64,
2005-11-04,,1.42,8.6,2.72,
2005-12-04,,1.44,8.68,2.72,
