Date,MOS,POT,CF,ICL,RIO,BHP,VALE,SCCO
1/2/03,8.09,3.60,,,5.98,4.81,0.856380045,0.820189476
1/3/03,8.00,3.60,,,6.04,4.92,0.856380045,0.832259357
1/6/03,8.21,3.60,,,6.08,4.87,0.85934341,0.8333565
1/7/03,8.06,3.60,,,6.04,4.84,0.863788307,0.854752541
1/8/03,7.96,3.64,,,5.86,4.78,0.83415544,0.839390814
1/9/03,8.37,3.64,,,5.87,4.86,0.857861578,0.866822481
1/10/03,8.39,3.65,,,5.89,4.83,0.84156394,0.852558434
1/13/03,8.46,3.63,,,5.94,4.82,0.831192493,0.883281052
1/14/03,8.46,3.62,,,5.95,4.87,0.847490072,0.88712126
1/15/03,8.36,3.69,,,5.77,4.81,0.829414427,0.869565308
1/16/03,8.29,3.67,,,5.63,4.82,0.822302699,0.883281052
1/17/03,8.28,3.57,,,5.70,4.78,0.814301968,0.883281052
1/21/03,8.18,3.48,,,5.63,4.69,0.793855369,0.873954713
1/22/03,7.91,3.46,,,5.44,4.68,0.801559925,0.867371202
1/23/03,8.06,3.38,,,5.49,4.66,0.774890482,0.867371202
1/24/03,7.85,3.32,,,5.43,4.66,0.761852205,0.864079475
1/27/03,7.52,3.34,,,5.28,4.57,0.766001046,0.863531411
1/28/03,7.45,3.31,,,5.49,4.53,0.773705065,0.869565308
1/29/03,7.37,3.25,,,5.33,4.49,0.775186777,0.864628315
1/30/03,7.03,3.34,,,5.47,4.38,0.807486296,0.869565308
1/31/03,7.34,3.36,,,5.37,4.45,0.819339275,0.862433732
2/3/03,7.13,3.35,,,5.63,4.43,0.831192493,0.861336291
2/4/03,7.13,3.34,,,5.66,4.54,0.832970381,0.864079475
2/5/03,6.99,3.26,,,5.80,4.53,0.835637271,0.857495844
2/6/03,6.83,3.21,,,5.72,4.52,0.846008778,0.862982154
2/7/03,6.68,3.24,,,5.71,4.57,0.857861578,0.839390814
2/10/03,6.65,3.22,,,5.72,4.62,0.850453675,0.861336291
2/11/03,6.58,3.21,,,5.70,4.62,0.864677131,0.861336291
2/12/03,6.28,3.28,,,5.65,4.60,0.854898214,0.86078763
2/13/03,6.27,3.23,,,5.61,4.55,0.819635689,0.862982154
2/14/03,6.16,3.21,,,5.57,4.55,0.800078332,0.871400952
2/18/03,6.40,3.17,,,5.78,4.60,0.83415544,0.888508856
2/19/03,6.25,3.13,,,5.73,4.68,0.812523544,0.880782783
2/20/03,6.20,3.15,,,5.80,4.67,0.818154037,0.882990062
2/21/03,6.24,3.15,,,5.93,4.70,0.838600338,0.881886423
2/24/03,6.04,3.17,,,5.93,4.73,0.851935089,0.879127264
2/25/03,6.34,3.33,,,5.86,4.76,0.857861578,0.859259903
2/26/03,6.38,3.38,,,5.88,4.70,0.863788307,0.853741407
2/27/03,6.56,3.43,,,5.82,4.72,0.844527066,0.876919866
2/28/03,6.62,3.39,,,5.90,4.73,0.85934341,0.858155966
3/3/03,6.76,3.33,,,5.94,4.84,0.874159396,0.876367927
3/4/03,6.63,3.35,,,5.81,4.70,0.869714558,0.859811425
