Date,KO,DIS,GE,IBM,JNJ,MRK,PG,XRX,MCD,AXP,LLY,PEP,PFE,TXN,WMT
1/2/62,4.67,5.79,62.27,151.33,6.30,6.72,25.46,69.36,,,,,,,
1/3/62,4.57,5.87,61.64,152.65,6.20,6.43,25.18,70.66,,,,,,,
1/4/62,4.60,5.87,60.91,151.13,6.14,6.37,24.76,70.22,,,,,,,
1/5/62,4.50,5.89,59.35,148.16,6.04,6.15,24.59,68.49,,,,,,,
1/8/62,4.45,5.87,59.25,145.38,5.94,6.17,23.93,65.02,,,,,,,
1/9/62,4.53,5.99,59.56,147.10,6.01,6.20,23.90,65.45,,,,,,,
1/10/62,4.56,6.05,59.87,147.36,6.14,6.30,23.96,64.70,,,,,,,
1/11/62,4.60,6.22,59.98,148.95,6.11,6.32,23.93,66.86,,,,,,,
1/12/62,4.57,6.03,59.14,149.22,6.04,6.30,24.07,66.43,,,,,,,
1/15/62,4.52,6.03,59.77,149.88,6.04,6.25,23.93,64.80,,,,,,,
1/16/62,4.44,5.87,60.29,148.29,6.01,6.17,24.03,63.07,,,,,,,
1/17/62,4.30,5.68,58.94,145.91,6.04,6.02,23.20,63.61,,,,,,,
1/18/62,4.22,5.79,59.56,146.31,5.99,6.13,23.30,61.12,,,,,,,
1/19/62,4.35,5.91,60.08,146.44,6.06,6.25,23.30,59.28,,,,,,,
1/22/62,4.38,6.01,60.29,146.17,5.99,6.19,23.34,57.54,,,,,,,
1/23/62,4.29,5.99,59.14,144.72,5.94,6.15,23.30,57.44,,,,,,,
1/24/62,4.25,5.91,60.29,145.51,5.93,6.20,23.09,58.95,,,,,,,
1/25/62,4.21,5.83,59.66,143.92,5.91,6.17,23.20,59.82,,,,,,,
1/26/62,4.16,5.79,59.46,143.20,5.89,6.02,22.99,61.44,,,,,,,
1/29/62,4.16,5.79,59.56,140.75,5.98,6.15,22.92,60.79,,,,,,,
1/30/62,4.15,5.83,60.60,138.96,5.94,6.14,22.92,61.12,,,,,,,
1/31/62,4.31,5.83,62.48,143.40,6.07,6.23,23.13,63.72,,,,,,,
2/1/62,4.35,5.91,62.06,146.70,6.12,6.27,23.20,64.32,,,,,,,
2/2/62,4.40,5.91,62.37,147.63,6.42,6.27,23.27,63.94,,,,,,,
2/5/62,4.40,5.91,61.23,145.78,6.69,6.25,23.13,63.18,,,,,,,
2/6/62,4.34,5.87,61.85,145.93,6.99,6.32,23.09,63.83,,,,,,,
2/7/62,4.36,5.95,62.48,146.06,7.05,6.33,23.09,64.15,,,,,,,
2/8/62,4.37,6.11,62.89,146.19,6.97,6.33,22.92,66.21,,,,,,,
2/9/62,4.40,6.14,62.58,147.25,6.96,6.39,22.81,64.15,,,,,,,
2/12/62,4.36,6.14,62.58,147.38,6.89,6.36,22.88,66.65,,,,,,,
