Date,NDX,AMZN,EBAY,MU,CSCO,QCOM,INTC,ORCL,MSFT,ADBE,JNPR,TXN,ASML,MSTR,VRSN,NOK,YHOO,LU
1/2/96,586,,,20.31,2.83,1.7,4.13,2.59,3.46,7.82,,3.76,1.99,,,1.17,,
1/3/96,572,,,19.27,2.72,1.62,4.07,2.47,3.35,7.36,,3.8,2.03,,,1.14,,
1/4/96,563,,,19.33,2.62,1.55,4.05,2.44,3.37,7.13,,3.82,2.16,,,1.1,,
1/5/96,565,,,19.15,2.65,1.62,4.05,2.57,3.33,5.15,,3.81,2.39,,,1.04,,
1/8/96,563,,,18.9,2.63,1.59,4.06,2.53,3.32,5.1,,3.77,2.47,,,1.02,,
1/9/96,534,,,17.86,2.42,1.48,3.88,2.41,3.09,4.63,,3.49,2.29,,,1.02,,
1/10/96,535,,,17.8,2.47,1.49,3.82,2.46,3.17,4.69,,3.52,2.23,,,1.01,,
1/11/96,555,,,17.56,2.62,1.57,4.01,2.51,3.34,4.78,,3.7,2.39,,,1.06,,
1/12/96,553,,,16.15,2.62,1.48,3.99,2.56,3.3,4.86,,3.55,2.43,,,1.02,,
1/15/96,534,,,15.11,2.49,1.4,3.76,2.4,3.18,4.47,,3.31,2.35,,,1,,
1/16/96,546,,,15.97,2.54,1.48,3.93,2.5,3.33,4.43,,3.43,2.37,,,1.05,,
1/17/96,546,,,15.78,2.59,1.57,3.53,2.56,3.27,4.36,,3.55,2.4,,,1.03,,
1/18/96,554,,,15.66,2.63,1.58,3.6,2.67,3.38,4.35,,3.8,2.37,,,1.07,,
1/19/96,565,,,15.23,2.81,1.67,3.62,2.73,3.54,4.53,,3.66,2.55,,,1.08,,
1/22/96,571,,,15.54,2.88,1.7,3.67,2.76,3.55,4.73,,3.77,2.44,,,1.11,,
1/23/96,567,,,15.66,2.89,1.73,3.71,2.77,3.45,4.82,,3.6,2.44,,,1.09,,
1/24/96,582,,,18.11,2.99,1.79,3.86,2.95,3.52,4.96,,3.79,2.52,,,1.11,,
1/25/96,572,,,17.62,2.94,1.74,3.85,2.86,3.44,4.78,,3.66,2.47,,,1.08,,
1/26/96,577,,,16.88,3.01,1.71,3.88,2.84,3.49,4.82,,3.72,2.54,,,1.1,,
1/29/96,576,,,16.46,3.01,1.78,3.84,2.83,3.48,4.7,,3.62,2.6,,,1.1,,
1/30/96,584,,,16.52,3.05,1.8,3.82,2.84,3.5,4.58,,3.62,2.56,,,1.11,,
1/31/96,592,,,16.76,3.09,1.74,3.9,2.86,3.56,4.15,,3.59,2.59,,,1.09,,
2/1/96,602,,,17.31,3.18,1.8,3.97,2.86,3.63,4.18,,3.64,2.68,,,1.14,,
2/2/96,601,,,17.62,3.13,1.86,4,2.95,3.58,4.39,,3.72,2.68,,,1.13,,
2/5/96,615,,,18.41,3.25,1.88,4.13,3.04,3.74,4.44,,4.12,2.69,,,1.15,,
2/6/96,619,,,20.49,3.32,1.9,4.2,3.01,3.72,4.46,,4.23,2.63,,,1.15,,
2/7/96,615,,,20.25,3.29,1.86,4.11,2.93,3.73,4.35,,4.14,2.56,,,1.1,,
2/8/96,624,,,19.52,3.29,1.87,4.08,3.01,3.81,4.73,,4.06,2.72,,,1.1,,
2/9/96,623,,,18.96,3.38,1.89,4.09,2.95,3.86,4.73,,3.91,2.69,,,1.09,,
2/12/96,625,,,18.11,3.34,1.84,4.11,2.99,3.83,4.62,,4.03,2.77,,,1.1,,
2/13/96,619,,,18.48,3.35,1.8,4.03,3.01,3.84,4.55,,3.94,2.66,,,1.08,,
2/14/96,618,,,18.11,3.28,1.81,4.09,3.07,3.81,4.52,,3.9,2.66,,,1.07,,
2/15/96,620,,,17.25,3.3,1.83,4.06,3.17,3.8,4.37,,3.88,2.53,,,1.05,,
2/16/96,619,,,17.68,3.3,1.84,4.06,3.15,3.77,4.3,,3.89,2.59,,,1.04,,
2/20/96,617,,,18.05,3.38,1.75,4.08,3.11,3.77,4.52,,3.88,2.92,,,1.04,,
2/21/96,627,,,18.17,3.5,1.8,4.18,3.18,3.85,4.59,,3.96,3.05,,,1.09,,
2/22/96,643,,,18.96,3.67,1.69,4.3,3.25,3.95,4.5,,4.18,3.02,,,1.14,,
2/23/96,643,,,18.41,3.68,1.65,4.29,3.22,3.99,4.49,,4.18,2.99,,,1.1,,
2/26/96,638,,,17.99,3.71,1.7,4.26,3.25,3.88,4.32,,4.14,2.98,,,1.1,,
2/27/96,631,,,16.46,3.61,1.68,4.25,3.17,3.86,4.18,,3.98,2.81,,,1.09,,
2/28/96,631,,,16.27,3.54,1.57,4.29,3.16,3.86,4.12,,4,2.68,,,1.03,,
2/29/96,623,,,15.66,3.52,1.53,4.15,3.12,3.8,4.09,,3.87,2.81,,,1.02,,
3/1/96,605,,,15.48,3.37,1.56,3.96,2.95,3.68,3.98,,3.77,2.75,,,1.02,,
3/4/96,602,,,15.48,3.27,1.56,3.87,2.9,3.71,3.95,,3.77,2.66,,,1.04,,
3/5/96,616,,,15.23,3.48,1.55,3.91,3.1,3.78,4,,3.9,2.64,,,1.07,,
3/6/96,608,,,14.25,3.41,1.52,3.76,2.98,3.74,3.88,,3.69,2.39,,,1.05,,
3/7/96,610,,,13.95,3.37,1.48,3.75,2.98,3.75,3.97,,3.88,2.31,,,1.06,,
3/8/96,592,,,14.62,3.26,1.43,3.77,2.82,3.67,3.92,,3.82,2.3,,,1.03,,
3/11/96,605,,,14.68,3.4,1.51,3.9,2.99,3.72,4.03,,3.88,2.37,,,1.07,,
3/12/96,599,,,14.56,3.36,1.54,3.87,2.89,3.69,3.94,,3.82,2.36,,,1.06,,
3/13/96,615,,,14.32,3.42,1.51,3.96,2.98,3.89,4.26,,3.86,2.37,,,1.06,,
3/14/96,611,,,14.25,3.41,1.47,3.96,2.89,3.84,4.15,,3.85,2.33,,,1.04,,
3/15/96,622,,,15.97,3.52,1.46,4.15,2.93,3.95,4.2,,4.07,2.35,,,1.04,,
