Date,NIKKEI
1/4/84,9927
1/5/84,9947
1/6/84,9961
1/9/84,10054
1/10/84,10016
1/11/84,10073
1/12/84,10104
1/13/84,10151
1/17/84,10156
1/18/84,10100
1/19/84,10098
1/20/84,10104
1/23/84,10071
1/24/84,10023
1/25/84,10115
1/26/84,10180
1/27/84,10181
1/30/84,10236
1/31/84,10196
2/1/84,10201
2/2/84,10156
2/3/84,10134
2/6/84,10121
2/7/84,10061
2/8/84,10100
2/9/84,10002
2/10/84,9960
2/13/84,9963
2/14/84,9830
2/15/84,9892
2/16/84,9897
2/17/84,9925
2/20/84,9938
2/21/84,9971
2/22/84,9948
2/23/84,9940
2/24/84,9963
2/27/84,10071
2/28/84,10074
2/29/84,10031
3/1/84,9920
3/2/84,9948
3/5/84,10089
3/6/84,10059
3/7/84,10021
3/8/84,9959
3/9/84,9997
3/12/84,10087
3/13/84,10195
3/14/84,10324
3/15/84,10347
3/16/84,10458
3/19/84,10480
3/21/84,10414
3/22/84,10456
3/23/84,10506
3/26/84,10484
3/27/84,10528
3/28/84,10701
3/29/84,10802
3/30/84,10929
4/2/84,11050
4/3/84,10934
4/4/84,11002
4/5/84,10993
4/6/84,10915
4/9/84,10891
4/10/84,10915
4/11/84,10939
4/12/84,10967
4/13/84,11015
4/16/84,11020
4/17/84,10906
4/18/84,10933
4/19/84,10783
4/20/84,10804
4/23/84,10801
4/24/84,10762
4/25/84,10866
4/26/84,10902
4/27/84,10982
5/1/84,11019
5/2/84,11105
5/4/84,11190
5/7/84,11159
5/8/84,11052
5/9/84,11060
5/10/84,10880
5/11/84,10834
5/14/84,10563
5/15/84,10605
5/16/84,10620
5/17/84,10341
5/18/84,10127
5/21/84,10165
5/22/84,10062
5/23/84,10023
5/24/84,10252
5/25/84,10142
5/28/84,10116
5/29/84,10164
5/30/84,10141
5/31/84,9940
6/1/84,9913
6/4/84,10132
6/5/84,10259
6/6/84,10254
6/7/84,10316
6/8/84,10351
6/11/84,10377
6/12/84,10325
6/13/84,10276
6/14/84,10149
6/15/84,10057
6/18/84,10082
6/19/84,10197
6/20/84,10237
6/21/84,10171
6/22/84,10153
6/25/84,10173
6/26/84,10245
6/27/84,10311
6/28/84,10372
6/29/84,10378
7/2/84,10411
7/3/84,10349
7/4/84,10376
7/5/84,10421
7/6/84,10462
7/9/84,10373
7/10/84,10387
7/11/84,10355
7/12/84,10270
7/13/84,10154
7/16/84,10178
7/17/84,10242
7/18/84,10208
7/19/84,10089
