Symbol,Company,Sector,Industry,Exchange,Currency,Year_End,IPO,YearsActive,Price,Shares,ImpliedShares,MarketCap,P/S_TTM,P/S_2024,P/E_TTM,P/E_2024,TTM_Revenue,TTM_NetIncome,Q_Rev%,2025_Revenue,2025_NetIncome,2025_EBITDA,2024_Revenue,2024_NetIncome,2024_EBITDA,2023_Revenue,2023_NetIncome,2023_EBITDA,2022_Revenue,2022_NetIncome,2022_EBITDA,2021_Revenue,2021_NetIncome,2021_EBITDA,2020_Revenue,2020_NetIncome,2020_EBITDA,3yrRev,2025_Rev%,2025_NetMargin,2024_Rev%,2024_NetMargin,2023_Rev%,2023_NetMargin,2022_Rev%,2022_NetMargin,2021_Rev%,2021_NetMargin,2020_Rev%,2020_NetMargin,2025_EBITDA%,2024_EBITDA%,2023_EBITDA%,2022_EBITDA%,2025_FCF,2025_FCF%,2024_FCF,2024_FCF%,2023_FCF,2023_FCF%,2022_FCF,2022_FCF%,2025_Interest_Expense,2025_Interest_Income,2025_NetInterest,2025_Interest/Rev,2024_Interest_Expense,2024_Interest_Income,2024_NetInterest,2024_Interest/Rev,2023_Interest_Expense,2023_Interest_Income,2023_NetInterest,2023_Interest/Rev,2022_Interest_Expense,2022_Interest_Income,2022_NetInterest,2022_Interest/Rev,2025_SG&A,2025_SG&A%,2024_SG&A,2024_SG&A%,2023_SG&A,2023_SG&A%,2022_SG&A,2022_SG&A%,2025_Assets,2025_Cash,2025_CurrentAssets,2025_Debt,2025_NetDebt,2025_Liabilities,2025_ND/A,2025_ND/Rev,2025_Cash/Rev,2025_Cash/Assets,2025_Debt/Assets,2025_Assets/Equity,2025_Liabilities/Equity,2025_Debt%,2024_Assets,2024_Cash,2024_CurrentAssets,2024_Debt,2024_NetDebt,2024_Liabilities,2024_ND/A,2024_ND/Rev,2024_Cash/Rev,2024_Cash/Assets,2024_Debt/Assets,2024_Assets/Equity,2024_Liabilities/Equity,2024_Debt%,2023_Assets,2023_Cash,2023_CurrentAssets,2023_Debt,2023_NetDebt,2023_Liabilities,2023_ND/A,2023_ND/Rev,2023_Cash/Rev,2023_Cash/Assets,2023_Debt/Assets,2023_Assets/Equity,2023_Liabilities/Equity,2023_Debt%,2022_Assets,2022_Cash,2022_CurrentAssets,2022_Debt,2022_NetDebt,2022_Liabilities,2022_ND/A,2022_ND/Rev,2022_Cash/Rev,2022_Cash/Assets,2022_Debt/Assets,2022_Assets/Equity,2022_Liabilities/Equity,2022_Debt%
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics,NYSE,USD,10/31/24,11/18/99,26.5,114.96,285103008,285102998,32775,4.6391,5.0346,25.407,25.4267,7065,1290,6.96,6948,1303,1835,6510,1289,1874,6833,1240,1705,6848,1254,1905,6319,1210,,5339,719,,1.0,6.73,18.75,-4.73,19.8,-0.22,18.15,8.37,18.31,18.36,19.15,,13.47,26.41,28.79,24.95,27.82,1152,16.58,1373,21.09,1474,21.57,1021,14.91,112,62,50,0.72,96,80,16,0.25,95,51,44,0.64,84,9,75,1.1,1709,24.6,1568,24.09,1634,23.91,1637,23.9,12727,1789,,3354,,5986,,,0.2575,0.1406,0.2635,1.888,0.888,26.35,11846,1329,3959,3390,2061,5948,0.174,0.3166,0.2041,0.1122,0.2862,2.0085,1.0085,28.62,10763,1590,4186,2735,1145,4918,0.1064,0.1676,0.2327,0.1477,0.2541,1.8414,0.8414,25.41,10532,1053,3778,2769,1716,5227,0.1629,0.2506,0.1538,0.1,0.2629,1.9853,0.9853,26.29
AA,Alcoa Corporation,Materials,Aluminum,NYSE,USD,12/31/24,1/2/62,64.4,71.38,258902000,258902015,18480,1.4403,1.5536,15.9723,308.0,12831,1157,-1.06,12831,1157,1845,11895,60,1087,10551,-651,155,12451,-123,1425,12152,429,,9286,-170,,-0.71,7.87,9.02,12.74,0.5,-15.26,-6.17,2.46,-0.99,30.86,3.53,,-1.83,14.38,9.14,1.47,11.44,567,4.42,42,0.35,-440,-4.17,342,2.75,158,,158,1.23,156,,156,1.31,107,,107,1.01,106,,106,0.85,299,2.33,275,2.31,226,2.14,204,1.64,16129,1597,,2698,,9935,,,0.1245,0.099,0.1673,2.604,1.604,16.73,14064,1138,4914,2768,1680,8907,0.1195,0.1412,0.0957,0.0809,0.1968,2.7272,1.7272,19.68,14155,944,4405,1971,1027,8310,0.0726,0.0973,0.0895,0.0667,0.1392,2.4217,1.4217,13.92,14756,1363,5250,1866,503,8167,0.0341,0.0404,0.1095,0.0924,0.1265,2.2395,1.2395,12.65
AAL,American Airlines Group Inc.,Industrials,Airlines,NASDAQ,USD,12/31/24,9/27/05,20.7,13.85,660304573,659512018,9145,0.1674,0.1687,82.3874,10.8097,54633,111,2.48,54633,111,4083,54211,846,5333,52788,822,5520,48971,127,4446,29882,-1993,,17337,-8885,,21.96,0.78,0.2,2.7,1.56,7.79,1.56,63.88,0.26,72.36,-6.67,,-51.25,7.47,9.84,10.46,9.08,-1786,-3.27,1300,2.4,1207,2.29,-373,-0.76,1716,357,1359,2.49,1934,468,1466,2.7,2145,591,1554,2.94,1962,216,1746,3.57,1997,3.66,1812,3.34,1799,3.41,1815,3.71,61774,954,,36884,,65501,,,0.0175,0.0154,0.5971,-16.5747,-17.5747,59.71,61783,804,13154,37544,36740,65760,0.5947,0.6777,0.0148,0.013,0.6077,-15.5351,-16.5351,60.77,63058,578,13572,40663,40085,68260,0.6357,0.7594,0.0109,0.0092,0.6449,-12.1219,-13.1219,64.49,64716,440,15269,43687,43247,70515,0.6683,0.8831,0.009,0.0068,0.6751,-11.1599,-12.1599,67.51
AAMI,Acadian Asset Management Inc.,Financials,Asset Management,NYSE,USD,,,,71.58,35722568,,2557,4.5417,5.0534,31.9625,30.0824,563,80,2.62,564,80,182,506,85,164,427,66,133,417,101,184,,,,,,,,11.46,14.18,18.5,16.8,2.4,15.46,,24.22,,,,,32.27,32.41,31.15,44.12,-14,-2.48,46,9.09,54,12.65,101,24.22,22,4,18,3.19,19,4,16,3.16,20,6,14,3.28,20,1,20,4.8,92,16.31,85,16.8,83,19.44,71,17.03,677,101,,261,,593,,,0.1791,0.1492,0.3855,8.0595,7.0595,38.55,703,95,,342,,616,,,0.1877,0.1351,0.4865,8.0805,7.0805,48.65,611,147,,346,,562,,,0.3443,0.2406,0.5663,12.4694,11.4694,56.63,519,108,,349,,540,,,0.259,0.2081,0.6724,-24.7143,-25.7143,67.24
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,NASDAQ,USD,12/31/24,9/26/13,12.7,181.49,77675124,55321899,14097,30.9824,56.6145,-370.9737,-75.7903,455,-38,33.91,456,-38,-16,249,-186,-159,217,-56,-26,222,-66,-36,212,-54,,235,-58,,5.51,83.13,-8.33,14.75,-74.7,-2.25,-25.81,4.72,-29.73,-9.79,-25.47,,-24.68,-3.51,-63.86,-11.98,-16.22,-354,-77.63,-113,-45.38,-17,-7.83,-17,-7.66,3,2,2,0.44,6,0,5,2.01,9,0,8,3.69,6,0,6,2.7,106,23.25,77,30.92,64,29.49,56,25.23,1168,206,,248,,435,,,0.4518,0.1764,0.2123,1.5935,0.5935,21.23,547,67,301,191,124,318,0.2267,0.498,0.2691,0.1225,0.3492,2.3886,1.3886,34.92,389,45,173,121,76,174,0.1954,0.3502,0.2074,0.1157,0.3111,1.8093,0.8093,31.11,408,25,183,156,131,224,0.3211,0.5901,0.1126,0.0613,0.3824,2.2174,1.2174,38.24
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,NASDAQ,USD,12/31/24,12/16/92,33.4,134.6,81499853,81366100,10970,7.6075,9.1417,102.5234,65.2976,1442,107,42.49,1442,108,226,1200,168,230,1168,177,241,888,100,127,534,58,,514,79,,30.98,20.17,7.49,2.74,14.0,31.53,15.15,66.29,11.26,3.89,10.86,,15.37,15.67,19.17,20.63,14.3,-204,-14.15,-83,-6.92,2,0.17,-49,-5.52,18,,18,1.25,2,,2,0.17,4,,4,0.34,2,,2,0.23,206,14.29,167,13.92,157,13.44,110,12.39,1687,0,,425,,792,,,0.0,0.0,0.2519,1.8849,0.8849,25.19,1175,0,488,171,171,351,0.1455,0.1425,0.0,0.0,0.1455,1.426,0.426,14.55,941,0,409,51,50,206,0.0531,0.0428,0.0,0.0,0.0542,1.2803,0.2803,5.42,814,6,349,78,73,253,0.0897,0.0822,0.0068,0.0074,0.0958,1.451,0.451,9.58
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail,NYSE,USD,12/31/24,11/29/01,24.5,57.95,59833100,59833100,3467,0.403,0.3812,78.7955,-10.3185,8602,44,-1.15,8601,44,320,9094,-336,-395,9209,29,310,9148,464,759,10998,596,,,493,,-6.14,-5.42,0.51,-1.25,-3.69,0.67,0.31,-16.82,5.07,,5.42,,,3.72,-4.34,3.37,8.3,-298,-3.46,-96,-1.06,61,0.66,336,3.67,139,,139,1.62,81,,81,0.89,88,,88,0.96,50,,50,0.55,3572,41.53,4121,45.32,3821,41.49,3708,40.53,11826,3123,,5224,,9628,,,0.3631,0.2641,0.4417,5.3803,4.3803,44.17,10798,1869,6144,3686,1817,8628,0.1683,0.1998,0.2055,0.1731,0.3414,4.976,3.976,34.14,12276,488,6377,3826,3338,9757,0.2719,0.3625,0.053,0.0398,0.3117,4.8734,3.8734,31.17,11986,271,6015,3652,3381,9387,0.2821,0.3696,0.0296,0.0226,0.3047,4.6118,3.6118,30.47
AAPG,Ascentage Pharma Group Internat,Healthcare,Biotechnology,NASDAQ,USD,,,,21.01,93330423,,1961,,1.999,,-4.842,,,,,,,981,-405,-238,222,-926,-744,210,-883,-771,28,-782,-787,,,,227.22,,,341.89,-41.28,5.71,-417.12,650.0,-420.48,,-2792.86,,,,-24.26,-335.14,-367.14,,,-136,-13.86,-783,-352.7,-891,-424.29,,,,,64,38,27,2.75,96,32,64,28.83,53,10,43,20.48,,,383,39.04,376,169.37,328,156.19,,,,,,,,,,,,,,,2618,1237,,1668,,2344,,,1.261,0.4725,0.6371,9.5547,8.5547,63.71,2500,1069,,1796,,2430,,,4.8153,0.4276,0.7184,35.7143,34.7143,71.84,2830,1476,,1793,,2422,,,7.0286,0.5216,0.6336,6.9363,5.9363,63.36
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,USD,9/30/24,12/12/80,45.4,308.82,14681140000,14935800887,4533830,10.4078,11.5944,38.495,48.3681,435617,117777,15.65,416161,112010,144748,391035,93736,134661,383285,96995,125820,394328,99803,130541,365820,94680,,274520,57410,,2.25,6.43,26.92,2.02,23.97,-2.8,25.31,7.79,25.31,33.26,25.88,,20.91,34.78,34.44,32.83,33.1,98767,23.73,108807,27.83,99584,25.98,111443,28.26,,,,,,,,,3933,3750,183,0.05,2931,2825,106,0.03,27601,6.63,26097,6.67,24932,6.5,25094,6.36,359241,35934,,98657,,285508,,,0.0863,0.1,0.2746,4.8722,3.8722,27.46,364980,29943,152987,106630,76687,308030,0.2101,0.1961,0.0766,0.082,0.2922,6.4088,5.4088,29.22,352580,29965,143566,111090,81125,290440,0.2301,0.2117,0.0782,0.085,0.3151,5.674,4.674,31.51,352760,23646,135405,132480,108834,302080,0.3085,0.276,0.06,0.067,0.3756,6.9605,5.9605,37.56
AAT,"American Assets Trust, Inc.",Real Estate,REIT Diversified,NYSE,USD,12/31/24,1/13/11,15.4,22.78,61134700,77316307,1393,3.195,3.0415,19.6197,19.0822,436,71,-2.97,436,71,278,458,73,274,441,64,249,422,55,238,375,36,,,35,,6.89,-4.8,16.28,3.85,15.94,4.5,14.51,12.53,13.03,,9.6,,,63.76,59.83,56.46,56.4,95,21.79,137,29.91,106,24.04,65,15.4,78,4,74,16.97,74,9,65,14.19,64,2,62,14.06,58,0,58,13.74,38,8.72,35,7.64,36,8.16,32,7.58,2921,129,,1706,,1830,,,0.2959,0.0442,0.584,2.6774,1.6774,58.4,3273,426,598,2031,1605,2149,0.4904,3.5044,0.9301,0.1302,0.6205,2.9119,1.9119,62.05,2985,83,252,1713,1630,1831,0.5461,3.6961,0.1882,0.0278,0.5739,2.5867,1.5867,57.39,2988,50,154,1674,1624,1802,0.5435,3.8483,0.1185,0.0167,0.5602,2.5194,1.5194,56.02
